"5.39.28.228","5.39.28.231","86449380","86449383","FI","Finland"
"5.39.28.232","5.39.28.235","86449384","86449387","FR","France"
"5.39.28.236","5.39.28.239","86449388","86449391","FI","Finland"
"5.39.28.240","5.39.29.91","86449392","86449499","FR","France"
"5.39.29.92","5.39.29.95","86449500","86449503","ES","Spain"
"5.39.29.96","5.39.30.11","86449504","86449675","FR","France"
"5.39.30.12","5.39.30.15","86449676","86449679","PT","Portugal"
"5.39.30.16","5.39.30.219","86449680","86449883","FR","France"
"5.39.30.220","5.39.30.220","86449884","86449884","DE","Germany"
"5.39.30.221","5.39.31.67","86449885","86449987","FR","France"
"5.39.31.68","5.39.31.68","86449988","86449988","LT","Lithuania"
"5.39.31.69","5.39.31.243","86449989","86450163","FR","France"
"5.39.31.244","5.39.31.247","86450164","86450167","GB","United Kingdom"
"5.39.31.248","5.39.32.159","86450168","86450335","FR","France"
"5.39.32.160","5.39.32.163","86450336","86450339","GB","United Kingdom"
"5.39.32.164","5.39.34.175","86450340","86450863","FR","France"
"5.39.34.176","5.39.34.179","86450864","86450867","PT","Portugal"
"5.39.34.180","5.39.34.187","86450868","86450875","FR","France"
"5.39.34.188","5.39.34.191","86450876","86450879","GB","United Kingdom"
"5.39.34.192","5.39.37.75","86450880","86451531","FR","France"
"5.39.37.76","5.39.37.79","86451532","86451535","FI","Finland"
"5.39.37.80","5.39.39.91","86451536","86452059","FR","France"
"5.39.39.92","5.39.39.95","86452060","86452063","ES","Spain"
"5.39.39.96","5.39.40.123","86452064","86452347","FR","France"
"5.39.40.124","5.39.40.127","86452348","86452351","ES","Spain"
"5.39.40.128","5.39.40.143","86452352","86452367","FR","France"
"5.39.40.144","5.39.40.159","86452368","86452383","GB","United Kingdom"
"5.39.40.160","5.39.40.175","86452384","86452399","ES","Spain"
"5.39.40.176","5.39.41.63","86452400","86452543","FR","France"
"5.39.41.64","5.39.41.95","86452544","86452575","GB","United Kingdom"
"5.39.41.96","5.39.41.135","86452576","86452615","FR","France"
"5.39.41.136","5.39.41.143","86452616","86452623","ES","Spain"
"5.39.41.144","5.39.41.191","86452624","86452671","FR","France"
"5.39.41.192","5.39.41.255","86452672","86452735","GB","United Kingdom"
"5.39.42.0","5.39.42.207","86452736","86452943","FR","France"
"5.39.42.208","5.39.42.223","86452944","86452959","GB","United Kingdom"
"5.39.42.224","5.39.44.67","86452960","86453315","FR","France"
"5.39.44.68","5.39.44.71","86453316","86453319","ES","Spain"
"5.39.44.72","5.39.44.79","86453320","86453327","FR","France"
"5.39.44.80","5.39.44.91","86453328","86453339","ES","Spain"
"5.39.44.92","5.39.44.95","86453340","86453343","PT","Portugal"
"5.39.44.96","5.39.44.187","86453344","86453435","FR","France"
"5.39.44.188","5.39.44.191","86453436","86453439","ES","Spain"
"5.39.44.192","5.39.46.76","86453440","86453836","FR","France"
